id,name_en,rarity,type,gender,slot_1,slot_2,slot_3,defense_base,defense_max,defense_augment_max,defense_fire,defense_water,defense_thunder,defense_ice,defense_dragon
315,Barroth Greaves Beta,5,legs,both,1,1,0,42,64,80,-3,-1,3,-1,0
316,Anja Helm Alpha,5,head,both,0,0,0,44,66,82,3,-3,-1,-1,0
317,Anja Mail Alpha,5,chest,both,0,0,0,44,66,82,3,-3,-1,-1,0
318,Anja Vambraces Alpha,5,arms,both,0,0,0,44,66,82,3,-3,-1,-1,0
319,Anja Coil Alpha,5,waist,both,0,0,0,44,66,82,3,-3,-1,-1,0
320,Anja Greaves Alpha,5,legs,both,0,0,0,44,66,82,3,-3,-1,-1,0
321,Anja Helm Beta,5,head,both,2,0,0,44,66,82,3,-3,-1,-1,0
322,Anja Mail Beta,5,chest,both,1,1,0,44,66,82,3,-3,-1,-1,0
323,Anja Vambraces Beta,5,arms,both,1,0,0,44,66,82,3,-3,-1,-1,0
324,Anja Coil Beta,5,waist,both,2,0,0,44,66,82,3,-3,-1,-1,0
325,Anja Greaves Beta,5,legs,both,1,0,0,44,66,82,3,-3,-1,-1,0
326,Jyura Helm Alpha,5,head,both,0,0,0,44,66,82,-1,2,-3,0,0
327,Jyura Mail Alpha,5,chest,both,0,0,0,44,66,82,-1,2,-3,0,0
328,Jyura Vambraces Alpha,5,arms,both,0,0,0,44,66,82,-1,2,-3,0,0
329,Jyura Coil Alpha,5,waist,both,0,0,0,44,66,82,-1,2,-3,0,0
330,Jyura Greaves Alpha,5,legs,both,0,0,0,44,66,82,-1,2,-3,0,0
331,Jyura Helm Beta,5,head,both,1,0,0,44,66,82,-1,2,-3,0,0
332,Jyura Mail Beta,5,chest,both,1,0,0,44,66,82,-1,2,-3,0,0
333,Jyura Vambraces Beta,5,arms,both,1,0,0,44,66,82,-1,2,-3,0,0
334,Jyura Coil Beta,5,waist,both,1,0,0,44,66,82,-1,2,-3,0,0
335,Jyura Greaves Beta,5,legs,both,2,0,0,44,66,82,-1,2,-3,0,0
336,Kadachi Helm Alpha,5,head,both,0,0,0,44,66,82,0,-3,3,0,0
337,Kadachi Mail Alpha,5,chest,both,0,0,0,44,66,82,0,-3,3,0,0
338,Kadachi Vambraces Alpha,5,arms,both,0,0,0,44,66,82,0,-3,3,0,0
339,Kadachi Coil Alpha,5,waist,both,0,0,0,44,66,82,0,-3,3,0,0
340,Kadachi Greaves Alpha,5,legs,both,0,0,0,44,66,82,0,-3,3,0,0
341,Kadachi Helm Beta,5,head,both,2,0,0,44,66,82,0,-3,3,0,0
342,Kadachi Mail Beta,5,chest,both,2,0,0,44,66,82,0,-3,3,0,0
343,Kadachi Vambraces Beta,5,arms,both,2,0,0,44,66,82,0,-3,3,0,0
344,Kadachi Coil Beta,5,waist,both,1,1,0,44,66,82,0,-3,3,0,0
345,Kadachi Greaves Beta,5,legs,both,1,1,0,44,66,82,0,-3,3,0,0
346,Lumu Hat Alpha,5,head,both,0,0,0,44,66,82,-3,2,0,1,0
347,Lumu Mail Alpha,5,chest,both,0,0,0,44,66,82,-3,2,0,1,0
348,Lumu Vambraces Alpha,5,arms,both,0,0,0,44,66,82,-3,2,0,1,0
349,Lumu Coil Alpha,5,waist,both,0,0,0,44,66,82,-3,2,0,1,0
350,Lumu Greaves Alpha,5,legs,both,0,0,0,44,66,82,-3,2,0,1,0
351,Lumu Hat Beta,5,head,both,2,0,0,44,66,82,-3,2,0,1,0
352,Lumu Mail Beta,5,chest,both,1,0,0,44,66,82,-3,2,0,1,0
353,Lumu Vambraces Beta,5,arms,both,1,0,0,44,66,82,-3,2,0,1,0
354,Lumu Coil Beta,5,waist,both,1,0,0,44,66,82,-3,2,0,1,0
355,Lumu Greaves Beta,5,legs,both,1,1,0,44,66,82,-3,2,0,1,0
356,Rathian Helm Alpha,5,head,both,0,0,0,46,68,84,2,0,-2,0,-3
357,Rathian Mail Alpha,5,chest,both,0,0,0,46,68,84,2,0,-2,0,-3
358,Rathian Vambraces Alpha,5,arms,both,0,0,0,46,68,84,2,0,-2,0,-3
359,Rathian Coil Alpha,5,waist,both,0,0,0,46,68,84,2,0,-2,0,-3
360,Rathian Greaves Alpha,5,legs,both,0,0,0,46,68,84,2,0,-2,0,-3
361,Rathian Helm Beta,5,head,both,1,0,0,46,68,84,2,0,-2,0,-3
362,Rathian Mail Beta,5,chest,both,1,0,0,46,68,84,2,0,-2,0,-3
363,Rathian Vambraces Beta,5,arms,both,1,0,0,46,68,84,2,0,-2,0,-3
364,Rathian Coil Beta,5,waist,both,1,0,0,46,68,84,2,0,-2,0,-3
365,Rathian Greaves Beta,5,legs,both,1,0,0,46,68,84,2,0,-2,0,-3
366,Rath Heart Helm Alpha,6,head,both,0,0,0,52,72,84,3,0,-3,0,-4
367,Rath Heart Mail Alpha,6,chest,both,0,0,0,52,72,84,3,0,-3,0,-4
368,Rath Heart Braces Alpha,6,arms,both,0,0,0,52,72,84,3,0,-3,0,-4
369,Rath Heart Coil Alpha,6,waist,both,0,0,0,52,72,84,3,0,-3,0,-4
370,Rath Heart Greaves Alpha,6,legs,both,0,0,0,52,72,84,3,0,-3,0,-4
371,Rath Heart Helm Beta,6,head,both,2,0,0,52,72,84,3,0,-3,0,-4
372,Rath Heart Mail Beta,6,chest,both,1,1,0,52,72,84,3,0,-3,0,-4
373,Rath Heart Braces Beta,6,arms,both,2,0,0,52,72,84,3,0,-3,0,-4
374,Rath Heart Coil Beta,6,waist,both,1,0,0,52,72,84,3,0,-3,0,-4
375,Rath Heart Greaves Beta,6,legs,both,2,0,0,52,72,84,3,0,-3,0,-4
376,Baan Helm Alpha,6,head,both,0,0,0,46,66,78,0,2,0,-1,-2
377,Baan Mail Alpha,6,chest,both,0,0,0,46,66,78,0,2,0,-1,-2
378,Baan Vambraces Alpha,6,arms,both,0,0,0,46,66,78,0,2,0,-1,-2
379,Baan Coil Alpha,6,waist,both,0,0,0,46,66,78,0,2,0,-1,-2
380,Baan Greaves Alpha,6,legs,both,0,0,0,46,66,78,0,2,0,-1,-2
381,Baan Helm Beta,6,head,both,2,0,0,46,66,78,0,2,0,-1,-2
382,Baan Mail Beta,6,chest,both,1,0,0,46,66,78,0,2,0,-1,-2
383,Baan Vambraces Beta,6,arms,both,1,0,0,46,66,78,0,2,0,-1,-2
384,Baan Coil Beta,6,waist,both,2,0,0,46,66,78,0,2,0,-1,-2
385,Baan Greaves Beta,6,legs,both,1,0,0,46,66,78,0,2,0,-1,-2
386,Gastodon Horn Alpha,5,head,both,0,0,0,48,70,86,3,0,0,0,0
387,Gastodon Horn Beta,5,head,both,1,0,0,48,70,86,3,0,0,0,0
388,Barnos Jacket Alpha,5,chest,both,0,0,0,48,70,86,1,1,0,1,-2
389,Barnos Jacket Beta,5,chest,both,1,0,0,48,70,86,1,1,0,1,-2
390,Dodogama Helm Alpha,5,head,both,0,0,0,48,70,86,2,0,-3,0,2
391,Dodogama Mail Alpha,5,chest,both,0,0,0,48,70,86,2,0,-3,0,2
392,Dodogama Vambraces Alpha,5,arms,both,0,0,0,48,70,86,2,0,-3,0,2
393,Dodogama Coil Alpha,5,waist,both,0,0,0,48,70,86,2,0,-3,0,2
394,Dodogama Greaves Alpha,5,legs,both,0,0,0,48,70,86,2,0,-3,0,2
395,Dodogama Helm Beta,5,head,both,1,0,0,48,70,86,2,0,-3,0,2
396,Dodogama Mail Beta,5,chest,both,1,0,0,48,70,86,2,0,-3,0,2
397,Dodogama Vambraces Beta,5,arms,both,1,0,0,48,70,86,2,0,-3,0,2
398,Dodogama Coil Beta,5,waist,both,1,0,0,48,70,86,2,0,-3,0,2
399,Dodogama Greaves Beta,5,legs,both,1,0,0,48,70,86,2,0,-3,0,2
400,Zorah Headgear Alpha,6,head,both,0,0,0,44,64,76,4,-3,-1,-2,-3
401,Zorah Hide Alpha,6,chest,both,0,0,0,44,64,76,4,-3,-1,-2,-3
402,Zorah Claws Alpha,6,arms,both,0,0,0,44,64,76,4,-3,-1,-2,-3
403,Zorah Spine Alpha,6,waist,both,0,0,0,44,64,76,4,-3,-1,-2,-3
404,Zorah Spurs Alpha,6,legs,both,0,0,0,44,64,76,4,-3,-1,-2,-3
405,Zorah Headgear Beta,6,head,both,1,0,0,44,64,76,4,-3,-1,-2,-3
406,Zorah Hide Beta,6,chest,both,2,0,0,44,64,76,4,-3,-1,-2,-3
407,Zorah Claws Beta,6,arms,both,1,0,0,44,64,76,4,-3,-1,-2,-3
408,Zorah Spine Beta,6,waist,both,2,0,0,44,64,76,4,-3,-1,-2,-3
409,Zorah Spurs Beta,6,legs,both,2,0,0,44,64,76,4,-3,-1,-2,-3
410,High Metal Helm Alpha,6,head,both,0,0,0,50,70,82,0,-1,-2,3,0
411,High Metal Mail Alpha,6,chest,both,0,0,0,50,70,82,0,-1,-2,3,0
412,High Metal Braces Alpha,6,arms,both,0,0,0,50,70,82,0,-1,-2,3,0
413,High Metal Coil Alpha,6,waist,both,0,0,0,50,70,82,0,-1,-2,3,0
414,High Metal Greaves Alpha,6,legs,both,0,0,0,50,70,82,0,-1,-2,3,0
415,High Metal Helm Beta,6,head,both,2,0,0,50,70,82,0,-1,-2,3,0
416,High Metal Mail Beta,6,chest,both,2,0,0,50,70,82,0,-1,-2,3,0
417,High Metal Braces Beta,6,arms,both,1,0,0,50,70,82,0,-1,-2,3,0
418,High Metal Coil Beta,6,waist,both,1,0,0,50,70,82,0,-1,-2,3,0
419,High Metal Greaves Beta,6,legs,both,1,0,0,50,70,82,0,-1,-2,3,0
420,Ingot Helm Alpha,6,head,both,0,0,0,50,70,82,-2,0,3,-1,0
421,Ingot Mail Alpha,6,chest,both,0,0,0,50,70,82,-2,0,3,-1,0
422,Ingot Vambraces Alpha,6,arms,both,0,0,0,50,70,82,-2,0,3,-1,0
423,Ingot Coil Alpha,6,waist,both,0,0,0,50,70,82,-2,0,3,-1,0
424,Ingot Greaves Alpha,6,legs,both,0,0,0,50,70,82,-2,0,3,-1,0
425,Ingot Helm Beta,6,head,both,1,0,0,50,70,82,-2,0,3,-1,0
426,Ingot Mail Beta,6,chest,both,1,0,0,50,70,82,-2,0,3,-1,0
427,Ingot Vambraces Beta,6,arms,both,1,0,0,50,70,82,-2,0,3,-1,0
428,Ingot Coil Beta,6,waist,both,3,0,0,50,70,82,-2,0,3,-1,0
429,Ingot Greaves Beta,6,legs,both,2,0,0,50,70,82,-2,0,3,-1,0
430,Brigade Lobos Alpha,6,head,both,0,0,0,52,72,84,1,0,2,0,2
431,Brigade Suit Alpha,6,chest,both,2,0,0,52,72,84,1,0,2,0,2
432,Brigade Vambraces Alpha,6,arms,both,0,0,0,52,72,84,1,0,2,0,2
433,Brigade Coil Alpha,6,waist,both,0,0,0,52,72,84,1,0,2,0,2
434,Brigade Boots Alpha,6,legs,both,1,0,0,52,72,84,1,0,2,0,2
435,Brigade Lobos Beta,6,head,both,1,0,0,52,72,84,1,0,2,0,2
436,Brigade Suit Beta,6,chest,both,2,2,0,52,72,84,1,0,2,0,2
437,Brigade Vambraces Beta,6,arms,both,1,0,0,52,72,84,1,0,2,0,2
438,Brigade Coil Beta,6,waist,both,1,0,0,52,72,84,1,0,2,0,2
439,Brigade Boots Beta,6,legs,both,3,0,0,52,72,84,1,0,2,0,2
440,Faux Felyne Alpha,6,head,both,0,0,0,56,76,88,2,2,2,2,2
441,Strategist Spectacles Alpha,6,head,both,1,0,0,56,76,88,2,2,2,2,2
442,Lavasioth Helm Alpha,6,head,both,0,0,0,56,76,88,3,-3,1,-2,2
443,Lavasioth Mail Alpha,6,chest,both,0,0,0,56,76,88,3,-3,1,-2,2
444,Lavasioth Vambraces Alpha,6,arms,both,2,0,0,56,76,88,3,-3,1,-2,2
445,Lavasioth Coil Alpha,6,waist,both,0,0,0,56,76,88,3,-3,1,-2,2
446,Lavasioth Greaves Alpha,6,legs,both,1,0,0,56,76,88,3,-3,1,-2,2
447,Lavasioth Helm Beta,6,head,both,1,1,0,56,76,88,3,-3,1,-2,2
448,Lavasioth Mail Beta,6,chest,both,1,1,0,56,76,88,3,-3,1,-2,2
449,Lavasioth Vambraces Beta,6,arms,both,3,0,0,56,76,88,3,-3,1,-2,2
450,Lavasioth Coil Beta,6,waist,both,1,0,0,56,76,88,3,-3,1,-2,2
451,Lavasioth Greaves Beta,6,legs,both,2,0,0,56,76,88,3,-3,1,-2,2
452,Legiana Helm Alpha,6,head,both,0,0,0,54,74,86,-1,2,-3,3,0
453,Legiana Mail Alpha,6,chest,both,0,0,0,54,74,86,-1,2,-3,3,0
454,Legiana Vambraces Alpha,6,arms,both,0,0,0,54,74,86,-1,2,-3,3,0
455,Legiana Coil Alpha,6,waist,both,0,0,0,54,74,86,-1,2,-3,3,0
456,Legiana Greaves Alpha,6,legs,both,0,0,0,54,74,86,-1,2,-3,3,0
457,Legiana Helm Beta,6,head,both,1,0,0,54,74,86,-1,2,-3,3,0
458,Legiana Mail Beta,6,chest,both,1,0,0,54,74,86,-1,2,-3,3,0
459,Legiana Vambraces Beta,6,arms,both,3,0,0,54,74,86,-1,2,-3,3,0
460,Legiana Coil Beta,6,waist,both,2,0,0,54,74,86,-1,2,-3,3,0
461,Legiana Greaves Beta,6,legs,both,3,0,0,54,74,86,-1,2,-3,3,0
462,Odogaron Helm Alpha,6,head,both,0,0,0,54,74,86,2,2,-2,-3,0
463,Odogaron Mail Alpha,6,chest,both,0,0,0,54,74,86,2,2,-2,-3,0
464,Odogaron Vambraces Alpha,6,arms,both,0,0,0,54,74,86,2,2,-2,-3,0
465,Odogaron Coil Alpha,6,waist,both,0,0,0,54,74,86,2,2,-2,-3,0
466,Odogaron Greaves Alpha,6,legs,both,0,0,0,54,74,86,2,2,-2,-3,0
467,Odogaron Helm Beta,6,head,both,2,0,0,54,74,86,2,2,-2,-3,0
468,Odogaron Mail Beta,6,chest,both,1,0,0,54,74,86,2,2,-2,-3,0
469,Odogaron Vambraces Beta,6,arms,both,1,0,0,54,74,86,2,2,-2,-3,0
470,Odogaron Coil Beta,6,waist,both,2,0,0,54,74,86,2,2,-2,-3,0
471,Odogaron Greaves Beta,6,legs,both,1,0,0,54,74,86,2,2,-2,-3,0
472,Rathalos Helm Alpha,6,head,both,0,0,0,54,74,86,3,1,-2,1,-3
473,Rathalos Mail Alpha,6,chest,both,0,0,0,54,74,86,3,1,-2,1,-3
474,Rathalos Vambraces Alpha,6,arms,both,0,0,0,54,74,86,3,1,-2,1,-3
475,Rathalos Coil Alpha,6,waist,both,0,0,0,54,74,86,3,1,-2,1,-3
476,Rathalos Greaves Alpha,6,legs,both,0,0,0,54,74,86,3,1,-2,1,-3
477,Rathalos Helm Beta,6,head,both,1,0,0,54,74,86,3,1,-2,1,-3
478,Rathalos Mail Beta,6,chest,both,1,0,0,54,74,86,3,1,-2,1,-3
479,Rathalos Vambraces Beta,6,arms,both,1,0,0,54,74,86,3,1,-2,1,-3
480,Rathalos Coil Beta,6,waist,both,2,0,0,54,74,86,3,1,-2,1,-3
481,Rathalos Greaves Beta,6,legs,both,3,0,0,54,74,86,3,1,-2,1,-3
482,Rath Soul Helm Alpha,7,head,both,0,0,0,56,68,82,3,2,2,-3,-4
483,Rath Soul Mail Alpha,7,chest,both,1,0,0,56,68,82,3,2,2,-3,-4
484,Rath Soul Braces Alpha,7,arms,both,1,0,0,56,68,82,3,2,2,-3,-4
485,Rath Soul Coil Alpha,7,waist,both,0,0,0,56,68,82,3,2,2,-3,-4
486,Rath Soul Greaves Alpha,7,legs,both,0,0,0,56,68,82,3,2,2,-3,-4
487,Rath Soul Helm Beta,7,head,both,1,1,0,56,68,82,3,2,2,-3,-4
488,Rath Soul Mail Beta,7,chest,both,2,0,0,56,68,82,3,2,2,-3,-4
489,Rath Soul Braces Beta,7,arms,both,2,0,0,56,68,82,3,2,2,-3,-4
490,Rath Soul Coil Beta,7,waist,both,3,0,0,56,68,82,3,2,2,-3,-4
491,Rath Soul Greaves Beta,7,legs,both,1,0,0,56,68,82,3,2,2,-3,-4
492,Diablos Helm Alpha,6,head,both,0,0,0,54,74,86,3,-2,0,-3,2
493,Diablos Mail Alpha,6,chest,both,0,0,0,54,74,86,3,-2,0,-3,2
494,Diablos Vambraces Alpha,6,arms,both,0,0,0,54,74,86,3,-2,0,-3,2
495,Diablos Coil Alpha,6,waist,both,0,0,0,54,74,86,3,-2,0,-3,2
496,Diablos Greaves Alpha,6,legs,both,0,0,0,54,74,86,3,-2,0,-3,2
497,Diablos Helm Beta,6,head,both,2,0,0,54,74,86,3,-2,0,-3,2
498,Diablos Mail Beta,6,chest,both,2,0,0,54,74,86,3,-2,0,-3,2
499,Diablos Vambraces Beta,6,arms,both,2,0,0,54,74,86,3,-2,0,-3,2
500,Diablos Coil Beta,6,waist,both,2,0,0,54,74,86,3,-2,0,-3,2
501,Diablos Greaves Beta,6,legs,both,1,1,0,54,74,86,3,-2,0,-3,2
502,Diablos Nero Helm Alpha,7,head,both,1,0,0,56,68,82,2,-3,0,-4,2
503,Diablos Nero Mail Alpha,7,chest,both,1,0,0,56,68,82,2,-3,0,-4,2
504,Diablos Nero Braces Alpha,7,arms,both,0,0,0,56,68,82,2,-3,0,-4,2
505,Diablos Nero Coil Alpha,7,waist,both,0,0,0,56,68,82,2,-3,0,-4,2
506,Diablos Nero Greaves Alpha,7,legs,both,1,0,0,56,68,82,2,-3,0,-4,2
507,Diablos Nero Helm Beta,7,head,both,3,0,0,56,68,82,2,-3,0,-4,2
508,Diablos Nero Mail Beta,7,chest,both,2,1,0,56,68,82,2,-3,0,-4,2
509,Diablos Nero Braces Beta,7,arms,both,2,1,0,56,68,82,2,-3,0,-4,2
510,Diablos Nero Coil Beta,7,waist,both,2,0,0,56,68,82,2,-3,0,-4,2
511,Diablos Nero Greaves Beta,7,legs,both,2,0,0,56,68,82,2,-3,0,-4,2
512,Uragaan Helm Alpha,7,head,both,3,0,0,60,72,86,4,-3,1,-2,-2
513,Uragaan Mail Alpha,7,chest,both,1,0,0,60,72,86,4,-3,1,-2,-2
514,Uragaan Vambraces Alpha,7,arms,both,1,0,0,60,72,86,4,-3,1,-2,-2
515,Uragaan Coil Alpha,7,waist,both,1,1,0,60,72,86,4,-3,1,-2,-2
516,Uragaan Greaves Alpha,7,legs,both,1,0,0,60,72,86,4,-3,1,-2,-2
517,Uragaan Helm Beta,7,head,both,3,1,0,60,72,86,4,-3,1,-2,-2
518,Uragaan Mail Beta,7,chest,both,3,0,0,60,72,86,4,-3,1,-2,-2
519,Uragaan Vambraces Beta,7,arms,both,2,0,0,60,72,86,4,-3,1,-2,-2
520,Uragaan Coil Beta,7,waist,both,2,1,0,60,72,86,4,-3,1,-2,-2
521,Uragaan Greaves Beta,7,legs,both,3,0,0,60,72,86,4,-3,1,-2,-2
522,Bazel Helm Alpha,7,head,both,2,0,0,58,70,84,3,1,-4,-2,-2
523,Bazel Mail Alpha,7,chest,both,0,0,0,58,70,84,3,1,-4,-2,-2
524,Bazel Vambraces Alpha,7,arms,both,0,0,0,58,70,84,3,1,-4,-2,-2
525,Bazel Coil Alpha,7,waist,both,1,0,0,58,70,84,3,1,-4,-2,-2
526,Bazel Greaves Alpha,7,legs,both,1,0,0,58,70,84,3,1,-4,-2,-2
527,Bazel Helm Beta,7,head,both,3,1,0,58,70,84,3,1,-4,-2,-2
528,Bazel Mail Beta,7,chest,both,1,1,0,58,70,84,3,1,-4,-2,-2
529,Bazel Vambraces Beta,7,arms,both,3,0,0,58,70,84,3,1,-4,-2,-2
530,Bazel Coil Beta,7,waist,both,3,0,0,58,70,84,3,1,-4,-2,-2
531,Bazel Greaves Beta,7,legs,both,3,0,0,58,70,84,3,1,-4,-2,-2
532,Damascus Helm Alpha,7,head,both,1,0,0,60,72,86,4,-2,0,0,0
533,Damascus Mail Alpha,7,chest,both,1,0,0,60,72,86,4,-2,0,0,0
534,Damascus Vambraces Alpha,7,arms,both,0,0,0,60,72,86,4,-2,0,0,0
535,Damascus Coil Alpha,7,waist,both,1,0,0,60,72,86,4,-2,0,0,0
536,Damascus Greaves Alpha,7,legs,both,1,0,0,60,72,86,4,-2,0,0,0
537,Damascus Helm Beta,7,head,both,3,0,0,60,72,86,4,-2,0,0,0
538,Damascus Mail Beta,7,chest,both,1,1,1,60,72,86,4,-2,0,0,0
539,Damascus Vambraces Beta,7,arms,both,1,0,0,60,72,86,4,-2,0,0,0
540,Damascus Coil Beta,7,waist,both,1,1,1,60,72,86,4,-2,0,0,0
541,Damascus Greaves Beta,7,legs,both,3,0,0,60,72,86,4,-2,0,0,0
542,Dober Helm Alpha,7,head,both,0,0,0,60,72,86,-2,0,-1,-1,4
543,Dober Mail Alpha,7,chest,both,1,0,0,60,72,86,-2,0,-1,-1,4
544,Dober Vambraces Alpha,7,arms,both,0,0,0,60,72,86,-2,0,-1,-1,4
545,Dober Coil Alpha,7,waist,both,2,0,0,60,72,86,-2,0,-1,-1,4
546,Dober Greaves Alpha,7,legs,both,0,0,0,60,72,86,-2,0,-1,-1,4
547,Dober Helm Beta,7,head,both,1,0,0,60,72,86,-2,0,-1,-1,4
548,Dober Mail Beta,7,chest,both,3,0,0,60,72,86,-2,0,-1,-1,4
549,Dober Vambraces Beta,7,arms,both,1,1,0,60,72,86,-2,0,-1,-1,4
550,Dober Coil Beta,7,waist,both,3,0,0,60,72,86,-2,0,-1,-1,4
551,Dober Greaves Beta,7,legs,both,1,0,0,60,72,86,-2,0,-1,-1,4
552,Death Stench Brain Alpha,7,head,both,2,0,0,62,74,88,3,2,-2,3,-4
553,Death Stench Muscle Alpha,7,chest,both,0,0,0,62,74,88,3,2,-2,3,-4
554,Death Stench Grip Alpha,7,arms,both,1,0,0,62,74,88,3,2,-2,3,-4
555,Death Stench Bowels Alpha,7,waist,both,0,0,0,62,74,88,3,2,-2,3,-4
556,Death Stench Heel Alpha,7,legs,both,0,0,0,62,74,88,3,2,-2,3,-4
557,Death Stench Brain Beta,7,head,both,3,0,0,62,74,88,3,2,-2,3,-4
558,Death Stench Muscle Beta,7,chest,both,3,0,0,62,74,88,3,2,-2,3,-4
559,Death Stench Grip Beta,7,arms,both,1,1,0,62,74,88,3,2,-2,3,-4
560,Death Stench Bowels Beta,7,waist,both,1,1,0,62,74,88,3,2,-2,3,-4
561,Death Stench Heel Beta,7,legs,both,1,1,0,62,74,88,3,2,-2,3,-4
562,Skull Mask Alpha,7,head,both,2,0,0,64,76,90,-3,-1,-1,-1,2
563,Nergigante Helm Alpha,8,head,both,1,0,0,64,70,84,1,1,-3,1,-3
564,Nergigante Mail Alpha,8,chest,both,1,0,0,64,70,84,1,1,-3,1,-3
565,Nergigante Vambraces Alpha,8,arms,both,0,0,0,64,70,84,1,1,-3,1,-3
566,Nergigante Coil Alpha,8,waist,both,0,0,0,64,70,84,1,1,-3,1,-3
567,Nergigante Greaves Alpha,8,legs,both,1,0,0,64,70,84,1,1,-3,1,-3
568,Nergigante Helm Beta,8,head,both,1,1,0,64,70,84,1,1,-3,1,-3
569,Nergigante Mail Beta,8,chest,both,2,1,0,64,70,84,1,1,-3,1,-3
570,Nergigante Vambraces Beta,8,arms,both,1,0,0,64,70,84,1,1,-3,1,-3
571,Nergigante Coil Beta,8,waist,both,2,0,0,64,70,84,1,1,-3,1,-3
572,Nergigante Greaves Beta,8,legs,both,2,0,0,64,70,84,1,1,-3,1,-3
573,Kaiser Crown Alpha,8,head,both,0,0,0,64,70,84,3,-3,1,-3,1
574,Kaiser Mail Alpha,8,chest,both,0,0,0,64,70,84,3,-3,1,-3,1
575,Kaiser Vambraces Alpha,8,arms,both,1,0,0,64,70,84,3,-3,1,-3,1
576,Kaiser Coil Alpha,8,waist,both,0,0,0,64,70,84,3,-3,1,-3,1
577,Kaiser Greaves Alpha,8,legs,both,0,0,0,64,70,84,3,-3,1,-3,1
578,Kaiser Crown Beta,8,head,both,2,0,0,64,70,84,3,-3,1,-3,1
579,Kaiser Mail Beta,8,chest,both,1,1,0,64,70,84,3,-3,1,-3,1
580,Kaiser Vambraces Beta,8,arms,both,3,0,0,64,70,84,3,-3,1,-3,1
581,Kaiser Coil Beta,8,waist,both,2,0,0,64,70,84,3,-3,1,-3,1
582,Kaiser Greaves Beta,8,legs,both,1,0,0,64,70,84,3,-3,1,-3,1
583,Kushala Glare Alpha,8,head,both,0,0,0,64,70,84,0,2,-3,4,-2
584,Kushala Cista Alpha,8,chest,both,0,0,0,64,70,84,0,2,-3,4,-2
585,Kushala Grip Alpha,8,arms,both,0,0,0,64,70,84,0,2,-3,4,-2
586,Kushala Cocoon Alpha,8,waist,both,0,0,0,64,70,84,0,2,-3,4,-2
587,Kushala Crus Alpha,8,legs,both,0,0,0,64,70,84,0,2,-3,4,-2
588,Kushala Glare Beta,8,head,both,1,1,1,64,70,84,0,2,-3,4,-2
589,Kushala Cista Beta,8,chest,both,2,0,0,64,70,84,0,2,-3,4,-2
590,Kushala Grip Beta,8,arms,both,3,0,0,64,70,84,0,2,-3,4,-2
591,Kushala Cocoon Beta,8,waist,both,1,1,0,64,70,84,0,2,-3,4,-2
592,Kushala Crus Beta,8,legs,both,3,0,0,64,70,84,0,2,-3,4,-2
593,Vaal Hazak Helm Alpha,8,head,both,0,0,0,64,70,84,-4,4,1,-1,-3
594,Vaal Hazak Mail Alpha,8,chest,both,1,0,0,64,70,84,-4,4,1,-1,-3
595,Vaal Hazak Braces Alpha,8,arms,both,1,0,0,64,70,84,-4,4,1,-1,-3
596,Vaal Hazak Coil Alpha,8,waist,both,1,0,0,64,70,84,-4,4,1,-1,-3
597,Vaal Hazak Greaves Alpha,8,legs,both,1,0,0,64,70,84,-4,4,1,-1,-3
598,Vaal Hazak Helm Beta,8,head,both,1,0,0,64,70,84,-4,4,1,-1,-3
599,Vaal Hazak Mail Beta,8,chest,both,1,1,0,64,70,84,-4,4,1,-1,-3
600,Vaal Hazak Braces Beta,8,arms,both,1,1,1,64,70,84,-4,4,1,-1,-3
601,Vaal Hazak Coil Beta,8,waist,both,1,1,0,64,70,84,-4,4,1,-1,-3
602,Vaal Hazak Greaves Beta,8,legs,both,1,1,0,64,70,84,-4,4,1,-1,-3
603,Kirin Horn Alpha,8,head,both,0,0,0,64,70,84,-3,-2,4,-2,2
604,Kirin Jacket Alpha,8,chest,both,0,0,0,64,70,84,-3,-2,4,-2,2
605,Kirin Longarms Alpha,8,arms,both,0,0,0,64,70,84,-3,-2,4,-2,2
606,Kirin Hoop Alpha,8,waist,both,0,0,0,64,70,84,-3,-2,4,-2,2
607,Kirin Leg Guards Alpha,8,legs,both,0,0,0,64,70,84,-3,-2,4,-2,2
608,Kirin Horn Beta,8,head,both,1,0,0,64,70,84,-3,-2,4,-2,2
609,Kirin Jacket Beta,8,chest,both,1,0,0,64,70,84,-3,-2,4,-2,2
610,Kirin Longarms Beta,8,arms,both,1,1,0,64,70,84,-3,-2,4,-2,2
611,Kirin Hoop Beta,8,waist,both,1,1,1,64,70,84,-3,-2,4,-2,2
612,Kirin Leg Guards Beta,8,legs,both,1,1,0,64,70,84,-3,-2,4,-2,2
613,Xeno'jiiva Headgear Alpha,8,head,both,1,0,0,72,78,92,-3,2,2,2,-4
614,Xeno'jiiva Hide Alpha,8,chest,both,1,0,0,72,78,92,-3,2,2,2,-4
615,Xeno'jiiva Claws Alpha,8,arms,both,1,0,0,72,78,92,-3,2,2,2,-4
616,Xeno'jiiva Spine Alpha,8,waist,both,2,0,0,72,78,92,-3,2,2,2,-4
617,Xeno'jiiva Spurs Alpha,8,legs,both,1,0,0,72,78,92,-3,2,2,2,-4
618,Xeno'jiiva Headgear Beta,8,head,both,2,0,0,72,78,92,-3,2,2,2,-4
619,Xeno'jiiva Hide Beta,8,chest,both,1,1,0,72,78,92,-3,2,2,2,-4
